industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
19,0.265282,1300.0,15,22,2,24,2023,2
27,0.265282,575.0,14,59,2,24,2023,1
26,0.265282,325.0,14,59,2,24,2023,0
9,0.265282,465.0,0,59,2,24,2023,0
12,0.265282,132.0,13,59,2,24,2023,0
7,0.265282,263.0,5,59,2,24,2023,0
12,0.18,1900.0,13,59,2,24,2023,2
23,0.02,153.0,14,59,2,24,2023,2
12,0.1,157.0,14,59,2,23,2023,1
17,0.32,442.0,5,17,2,23,2023,1
23,0.06,157.0,0,1,2,23,2023,0
27,0.265282,400.0,13,59,2,23,2023,0
13,0.265282,76.0,3,59,2,23,2023,0
3,0.2,607.0,5,59,2,23,2023,2
3,0.15,61.0,3,59,2,23,2023,2
12,0.13,157.0,0,59,2,23,2023,2
18,0.12,157.0,0,58,2,22,2023,1
26,0.265282,279.0,13,59,2,22,2023,1
12,0.265282,155.0,4,59,2,22,2023,2
3,0.11,279.0,4,1,2,22,2023,2
12,0.57,194.0,14,59,2,22,2023,2
27,1.0,57.0,1,59,2,22,2023,2
9,0.7,214.0,4,50,2,21,2023,2
3,0.2,451.0,0,22,2,21,2023,1
18,0.265282,26.0,0,27,2,21,2023,1
7,0.265282,406.0,5,59,2,21,2023,0
17,0.04,52.0,3,59,2,21,2023,0
27,0.265282,157.0,7,36,2,21,2023,0
17,0.265282,61.0,13,16,2,21,2023,2
21,0.265282,121.0,4,59,2,21,2023,2
23,0.265282,467.0,13,17,2,21,2023,2
19,0.3,79.0,3,22,2,20,2023,1
3,0.05,1000.0,6,59,2,20,2023,0
19,0.28,10.0,1,1,2,20,2023,0
9,1.0,9.0,2,59,2,20,2023,2
11,0.265282,4200.0,13,25,2,19,2023,1
11,0.05,50.0,13,59,2,17,2023,2
2,0.265282,12600.0,13,9,2,17,2023,2
2,0.265282,290.0,14,59,2,17,2023,1
7,0.33,302.0,4,59,2,17,2023,1
19,0.265282,105.0,13,59,2,17,2023,2
3,0.265282,157.0,0,59,2,17,2023,2
24,0.1,536.0,13,59,2,16,2023,2
19,0.2,62.0,14,59,2,16,2023,2
23,0.07,356.0,13,59,2,16,2023,1
19,0.03,152.0,13,59,2,16,2023,1
15,0.265282,1100.0,6,59,2,16,2023,2
17,0.06,58.0,13,25,2,15,2023,2
24,0.08,1100.0,8,59,2,15,2023,1
7,0.09,720.0,5,5,2,15,2023,1
18,0.265282,22.0,4,16,2,15,2023,1
13,0.11,491.0,13,59,2,15,2023,1
26,0.04,429.0,13,59,2,15,2023,1
7,0.265282,435.0,7,59,2,15,2023,0
21,0.265282,180.0,3,59,2,15,2023,0
9,0.2,86.0,2,1,2,15,2023,2
17,0.14,1100.0,13,59,2,15,2023,2
26,0.265282,214.0,4,59,2,15,2023,2
18,0.265282,63.0,3,59,2,15,2023,2
19,0.15,148.0,4,59,2,15,2023,2
12,0.14,185.0,13,59,2,15,2023,2
19,0.14,157.0,13,59,2,14,2023,2
23,0.31,157.0,14,59,2,14,2023,2
23,1.0,2.0,0,17,2,14,2023,0
10,0.08,11.0,3,59,2,14,2023,2
12,0.7,40.0,3,22,2,14,2023,2
5,0.1,311.0,13,59,2,14,2023,2
19,0.17,614.0,13,59,2,13,2023,2
19,0.25,212.0,5,59,2,13,2023,1
17,1.0,157.0,0,59,2,13,2023,1
23,0.265282,225.0,4,5,2,13,2023,1
2,0.07,30.0,14,59,2,13,2023,1
12,0.265282,719.0,7,59,2,13,2023,0
3,0.265282,170.0,3,59,2,13,2023,0
21,0.3,708.0,0,26,2,13,2023,2
9,0.265282,749.0,14,48,2,13,2023,2
9,0.265282,1800.0,6,58,2,13,2023,2
22,0.265282,154.0,14,59,2,13,2023,2
27,0.11,138.0,3,23,2,12,2023,2
