industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
25,0.265282,849,7,59,'\'(74.5-245.743]\'',4,13,2023
4,0.4,282,4,59,'\'(74.5-245.743]\'',4,13,2023
18,1,157,1,22,'\'(245.743-inf)\'',4,13,2023
28,1,20,2,58,'\'(245.743-inf)\'',4,13,2023
3,1,157,0,36,'\'(245.743-inf)\'',4,13,2023
24,0.265282,59,12,59,'\'(245.743-inf)\'',4,13,2023
19,0.04,366,13,59,'\'(245.743-inf)\'',4,12,2023
12,0.265282,347,13,59,'\'(74.5-245.743]\'',4,12,2023
12,0.265282,5900,13,59,'\'(-inf-74.5]\'',4,12,2023
9,1,86,2,1,'\'(245.743-inf)\'',4,11,2023
21,0.04,320,13,59,'\'(74.5-245.743]\'',4,11,2023
17,0.4,105,4,58,'\'(74.5-245.743]\'',4,11,2023
12,0.25,19,0,8,'\'(-inf-74.5]\'',4,11,2023
17,0.265282,157,13,59,'\'(245.743-inf)\'',4,11,2023
27,0.1,92,4,22,'\'(245.743-inf)\'',4,11,2023
5,0.265282,81,3,59,'\'(245.743-inf)\'',4,11,2023
15,0.08,399,5,59,'\'(-inf-74.5]\'',4,10,2023
6,0.37,13,0,59,'\'(-inf-74.5]\'',4,10,2023
7,0.25,71,3,22,'\'(74.5-245.743]\'',4,9,2023
12,0.265282,222,5,22,'\'(-inf-74.5]\'',4,8,2023
12,0.92,409,13,59,'\'(74.5-245.743]\'',4,7,2023
12,0.265282,138,4,59,'\'(74.5-245.743]\'',4,7,2023
7,0.2,120,4,22,'\'(74.5-245.743]\'',4,7,2023
25,0.05,157,13,7,'\'(-inf-74.5]\'',4,6,2023
27,1,157,1,17,'\'(-inf-74.5]\'',4,6,2023
9,0.3,382,0,22,'\'(245.743-inf)\'',4,5,2023
4,0.13,311,13,59,'\'(-inf-74.5]\'',4,5,2023
23,0.4,157,3,22,'\'(245.743-inf)\'',4,4,2023
12,0.265282,96,14,59,'\'(74.5-245.743]\'',4,4,2023
23,0.265282,30,0,1,'\'(-inf-74.5]\'',4,4,2023
7,0.2,37,3,59,'\'(-inf-74.5]\'',4,4,2023
23,0.265282,157,12,35,'\'(245.743-inf)\'',4,4,2023
19,0.2,157,14,59,'\'(245.743-inf)\'',4,3,2023
19,0.23,2300,13,59,'\'(74.5-245.743]\'',4,3,2023
7,0.11,339,6,59,'\'(-inf-74.5]\'',4,3,2023
22,0.12,42,0,59,'\'(-inf-74.5]\'',4,3,2023
23,0.265282,6200,13,59,'\'(245.743-inf)\'',4,3,2023
7,0.265282,1800,5,58,'\'(245.743-inf)\'',4,3,2023
5,0.45,130,5,51,'\'(74.5-245.743]\'',3,31,2023
4,0.265282,181,3,59,'\'(-inf-74.5]\'',3,31,2023
18,0.265282,683,14,9,'\'(74.5-245.743]\'',3,30,2023
18,0.06,208,13,59,'\'(74.5-245.743]\'',3,30,2023
7,0.13,157,13,59,'\'(74.5-245.743]\'',3,30,2023
2,0.75,50,3,22,'\'(74.5-245.743]\'',3,30,2023
7,0.25,24,2,59,'\'(-inf-74.5]\'',3,30,2023
24,0.15,116,4,59,'\'(-inf-74.5]\'',3,30,2023
18,0.265282,2100,13,52,'\'(-inf-74.5]\'',3,30,2023
17,0.17,157,0,59,'\'(245.743-inf)\'',3,30,2023
22,0.9,157,14,48,'\'(245.743-inf)\'',3,30,2023
13,0.265282,157,13,59,'\'(245.743-inf)\'',3,30,2023
15,0.15,157,4,32,'\'(245.743-inf)\'',3,30,2023
5,0.12,838,9,22,'\'(245.743-inf)\'',3,30,2023
12,0.265282,5,14,59,'\'(245.743-inf)\'',3,29,2023
2,0.06,2,13,59,'\'(245.743-inf)\'',3,29,2023
11,0.265282,157,13,59,'\'(245.743-inf)\'',3,29,2023
23,0.265282,119,14,59,'\'(74.5-245.743]\'',3,29,2023
12,0.28,59,13,59,'\'(-inf-74.5]\'',3,29,2023
19,0.25,37,3,2,'\'(245.743-inf)\'',3,29,2023
7,0.265282,9,1,36,'\'(245.743-inf)\'',3,29,2023
27,0.3,504,13,59,'\'(245.743-inf)\'',3,29,2023
27,0.18,8300,13,59,'\'(245.743-inf)\'',3,28,2023
23,0.265282,62,14,59,'\'(74.5-245.743]\'',3,28,2023
27,0.33,314,13,59,'\'(-inf-74.5]\'',3,28,2023
4,0.265282,17,14,59,'\'(245.743-inf)\'',3,27,2023
12,0.35,143,13,59,'\'(245.743-inf)\'',3,27,2023
7,0.265282,250,0,59,'\'(74.5-245.743]\'',3,24,2023
2,0.265282,157,14,59,'\'(245.743-inf)\'',3,24,2023
23,0.265282,300,13,16,'\'(245.743-inf)\'',3,23,2023
4,0.265282,500,14,59,'\'(74.5-245.743]\'',3,23,2023
23,0.265282,146,0,56,'\'(-inf-74.5]\'',3,23,2023
19,0.25,15,2,16,'\'(-inf-74.5]\'',3,23,2023
10,0.15,5,14,59,'\'(245.743-inf)\'',3,22,2023
11,0.265282,157,13,53,'\'(245.743-inf)\'',3,22,2023
10,0.15,204,14,59,'\'(-inf-74.5]\'',3,22,2023
27,0.16,376,13,58,'\'(-inf-74.5]\'',3,22,2023
4,0.265282,80,3,7,'\'(245.743-inf)\'',3,22,2023
21,0.27,365,6,59,'\'(245.743-inf)\'',3,22,2023
9,0.265282,157,14,58,'\'(245.743-inf)\'',3,21,2023
11,0.04,157,13,59,'\'(245.743-inf)\'',3,21,2023
10,0.1,131,0,24,'\'(74.5-245.743]\'',3,21,2023
7,0.1,331,0,7,'\'(74.5-245.743]\'',3,21,2023
10,0.265282,157,2,17,'\'(-inf-74.5]\'',3,21,2023
9,0.265282,101,2,1,'\'(-inf-74.5]\'',3,21,2023
7,0.04,62,4,22,'\'(-inf-74.5]\'',3,21,2023
28,0.265282,3300,13,59,'\'(245.743-inf)\'',3,21,2023
2,0.265282,17,2,1,'\'(245.743-inf)\'',3,21,2023
17,0.265282,145,3,59,'\'(245.743-inf)\'',3,21,2023
7,0.1,130,13,35,'\'(245.743-inf)\'',3,21,2023
23,0.265282,108,13,59,'\'(245.743-inf)\'',3,20,2023
2,0.1,57,4,41,'\'(245.743-inf)\'',3,20,2023
23,0.02,431,7,22,'\'(74.5-245.743]\'',3,17,2023
19,0.25,148,4,7,'\'(-inf-74.5]\'',3,17,2023
21,0.265282,23,0,59,'\'(245.743-inf)\'',3,17,2023
26,0.02,484,13,59,'\'(74.5-245.743]\'',3,16,2023
16,0.265282,157,13,59,'\'(74.5-245.743]\'',3,16,2023
8,0.28,157,14,2,'\'(-inf-74.5]\'',3,16,2023
5,0.15,477,4,59,'\'(-inf-74.5]\'',3,16,2023
23,0.21,71,13,59,'\'(-inf-74.5]\'',3,16,2023
10,0.265282,31,3,59,'\'(245.743-inf)\'',3,16,2023
17,0.265282,778,0,59,'\'(74.5-245.743]\'',3,15,2023
23,0.3,17,2,22,'\'(-inf-74.5]\'',3,15,2023
23,0.25,365,13,59,'\'(-inf-74.5]\'',3,15,2023
7,0.265282,4100,13,5,'\'(-inf-74.5]\'',3,15,2023
7,0.3,24,3,35,'\'(-inf-74.5]\'',3,15,2023
21,0.265282,172,0,59,'\'(245.743-inf)\'',3,15,2023
2,0.265282,26000,13,59,'\'(245.743-inf)\'',3,14,2023
23,0.1,581,6,59,'\'(74.5-245.743]\'',3,14,2023
3,0.2,487,5,59,'\'(74.5-245.743]\'',3,14,2023
11,0.14,106,4,7,'\'(-inf-74.5]\'',3,14,2023
11,0.265282,157,13,59,'\'(-inf-74.5]\'',3,14,2023
7,0.3,16,2,59,'\'(-inf-74.5]\'',3,14,2023
27,0.265282,1300,13,23,'\'(245.743-inf)\'',3,10,2023
2,0.265282,157,0,27,'\'(74.5-245.743]\'',3,10,2023
7,0.15,681,13,35,'\'(74.5-245.743]\'',3,9,2023
9,0.265282,157,0,23,'\'(74.5-245.743]\'',3,9,2023
9,0.02,3400,9,59,'\'(74.5-245.743]\'',3,9,2023
7,0.265282,79,14,7,'\'(-inf-74.5]\'',3,9,2023
18,0.265282,157,14,59,'\'(-inf-74.5]\'',3,9,2023
10,0.265282,31,3,59,'\'(245.743-inf)\'',3,9,2023
12,0.7,157,13,59,'\'(245.743-inf)\'',3,9,2023
5,1,157,2,59,'\'(245.743-inf)\'',3,9,2023
18,0.15,117,14,7,'\'(-inf-74.5]\'',3,8,2023
4,0.15,52,3,59,'\'(245.743-inf)\'',3,8,2023
12,0.15,177,6,22,'\'(245.743-inf)\'',3,7,2023
8,0.15,619,4,59,'\'(74.5-245.743]\'',3,7,2023
7,1,18,2,59,'\'(245.743-inf)\'',3,7,2023
3,0.25,6,0,58,'\'(245.743-inf)\'',3,7,2023
2,0.265282,2700,13,59,'\'(245.743-inf)\'',3,7,2023
23,0.265282,194,14,59,'\'(245.743-inf)\'',3,7,2023
19,0.05,210,13,1,'\'(74.5-245.743]\'',3,6,2023
18,0.08,525,13,59,'\'(245.743-inf)\'',3,6,2023
23,0.265282,16,3,36,'\'(245.743-inf)\'',3,6,2023
10,0.265282,157,0,59,'\'(245.743-inf)\'',3,6,2023
5,0.265282,631,0,22,'\'(74.5-245.743]\'',3,6,2023
